Theme Name,Descriptor,Theme Status,ToC Stage
"Free, Prior, and Informed Consent (FPIC)","Ensuring that Indigenous Peoples and Local Communities (IPLCs) have the right to give or withhold consent before any project affecting their land, resources, or livelihoods is approved. FPIC is a continuous process, requiring full transparency, meaningful participation, and decision-making free from coercion. It upholds self-determination, safeguards rights, and ensures communities have access to relevant information before making informed decisions.",Published on Platform,1: Output
User Rights and Land Tenure,"Ensuring that Indigenous Peoples and Local Communities (IPLCs) have secure, legally recognized, and enforceable rights to access, use, manage, and benefit from land and natural resources. This includes formalizing land tenure, preventing land grabbing and displacement, and promoting equitable land governance. Strengthening user rights ensures that IPLCs can make decisions over their land, maintain their livelihoods, and participate in conservation and development initiatives without the risk of exclusion or loss of access",Published on Platform,1: Output
Natural Resource Management,"Ensuring the conservation, sustainable management, and restoration of forests to maintain biodiversity, regulate the climate, and support the livelihoods of local communities. Forest protection efforts prioritize preventing deforestation, illegal logging, and land degradation while recognizing the rights of Indigenous Peoples and Local Communities as stewards of forest ecosystems. ",Published on Platform,1: Output
Transparency & Access to Information,"Ensuring that all stakeholders have timely, accurate, and accessible information about project activities, decisions, and outcomes. Transparency fosters trust, accountability, and informed participation by making financial flows, land agreements, environmental and social impact assessments, and governance structures publicly available.",Published on Platform,Both Stages
Inclusive Decision Making & Participation,"Ensuring that all stakeholders, particularly marginalized groups—have meaningful opportunities to participate in decision-making processes. This includes co-designing projects, influencing policies, and shaping benefit-sharing mechanisms. ",Published on Platform,Both Stages
Safeguarding & Ethical Standards,"Ensuring that all project activities uphold human rights, prevent harm, and promote ethical, fair, and inclusive practices. This includes robust measures to prevent exploitation, discrimination, abuse, and unsafe working conditions, particularly for vulnerable groups such as children, women, and marginalized communities. ",Published on Platform,Both Stages
Training,"Ensuring that individuals, communities, and institutions have the knowledge, skills, and resources needed to effectively participate in and benefit from projects. ",Published on Platform,Both Stages
Benefit Sharing Mechanism,"Ensuring that project benefits—financial, social, and environmental—are distributed through clear, transparent, and participatory mechanisms. This includes well-documented processes for fund disbursement, decision-making, and oversight to prevent elite capture and ensure fairness. Local communities and Indigenous Peoples must have a direct role in shaping and accessing these benefits, with grievance mechanisms in place to address concerns.",Published on Platform,1: Output
Economic Empowerment & Resilient Livelihoods,"Ensuring communities have access to sustainable economic opportunities that increase income, build assets, and enhance long-term financial security. A focus on resilience ensures that communities can adapt to environmental and economic shifts, fostering self-sufficiency and long-term well-being.",Published on Platform,Both Stages
Improved Ecosystem Services & Practices for Sustainable Livelihoods,"Ensuring that natural ecosystems—such as forests, watersheds, and soils—are protected and enhanced to sustain and improve the livelihoods of local communities. This includes maintaining biodiversity, regulating climate, securing water resources, and improving soil health, all of which contribute to sustainable farming, fishing, and other nature-based livelihoods.",Published on Platform,Both Stages
Access to Social Services,"Ensuring that all individuals, particularly marginalized groups, can reach and utilize essential services such as healthcare, education, and social protection without barriers.",Published on Platform,Both Stages
Improved Quality of Social Services,"Enhancing the effectiveness, safety, and responsiveness of healthcare, education, social protection, and justice services to meet community needs.",Published on Platform,2: Outcome
Increased knowledge and skills,"Enhancing the knowledge, skills, and capacities of individuals and communities to make informed decisions, improve livelihoods, and actively participate in governance and sustainability efforts. ",Published on Platform,2: Outcome
Transformations in Gender and Social Inclusion,"Transformations in gender and social inclusion occur when systemic barriers to equity are dismantled, power imbalances are addressed, and all individuals—especially those historically marginalised—can fully participate in and benefit from social, economic, and political life. These changes lead to greater agency, improved well-being, and more inclusive, accountable governance that reflects the rights, needs, and perspectives of diverse communities.",Published on Platform,Both Stages
"Indigenous Knowledge Recognised, Practised & Sustained","Indigenous knowledge and cultural heritage are actively recognised, integrated, and protected within land use, conservation, and development practices. Indigenous Peoples and local communities exercise agency in leading and transmitting their ecological knowledge, ensuring its continuity, influence, and intergenerational transfer.",Published on Platform,Both Stages
Social Cohesion and Strengthened Social Capital,"Communities experience a sense of connection, mutual trust, and shared responsibility. Social networks are inclusive and supportive, enabling collaboration across groups and increasing resilience to shocks and conflict. Strong social capital fosters cooperation, reinforces accountability, and strengthens long-term well-being.",Published on Platform,Both Stages
Human-Wildlife Conflict,"This theme addresses the systematic management of interactions between local communities and wildlife to minimize negative impacts on both human livelihoods and biodiversity. It focuses on shifting from reactive, lethal measures to proactive, non-lethal co-existence strategies. Monitoring under this theme evaluates the effectiveness of physical and digital deterrents, the efficiency of compensation or insurance schemes for crop/livestock loss, and the integration of traditional ecological knowledge into modern conservation protocols. The objective is to ensure that conservation goals do not come at the expense of community safety or economic security.",Published on Platform,Both Stages
Youth Empowerment,"This theme evaluates the mechanisms by which a project integrates young people (ages 15–35, or as contextually defined) into leadership, decision-making, and economic structures. It focuses on the transition from passive participation to active agency, ensuring that the youth are equipped with the technical skills and institutional access required to sustain project activities over the long term. Monitoring within this theme tracks investments in vocational training, the formalization of youth councils, and the reduction of barriers to land, credit, and employment within the project’s value chain.",Published on Platform,Both Stages
Teaching Practice & Facilitation,"Focuses on how teaching and facilitation are designed, delivered, and supported to enable meaningful learning, especially for vulnerable learners.",In Review,Both Stages
Inclusive Learning Environments,"Concerns whether learning spaces are safe, respectful, and responsive to learner diversity.",In Review,1: Output
Learning Continuity & Progression,Examines how consistently earners participate in and progress through learning over time.,In Review,Both Stages
Psychosocial  Wellbeing,Relates to learners’ emotional and social wellbeing and its influence on learning engagement.,In Review,Both Stages
Readiness to Learn,Addresses conditions that enable learners to participate meaningfully in learning.,In Review,Both Stages
Agency & Aspirations,Explores how learners understand themselves and their future possibilities.,In Review,Both Stages
Caregiver engagement in Learning,Focuses on how caregivers support and value children’s education.,In Review,Both Stages
Home Conditions for Learning,Examines household conditions and norms that affect learning participation.,In Review,Both Stages
Caregiver  Learning & Empowerment,"Relates to caregivers’ own learning, confidence, and capacity to support children.",In Review,Both Stages
Transferable & Applied Skills,"Focuses on skills that support adaptability, work readiness, and lifelong learning.",In Review,Both Stages
Pathway Awareness & Navigation,Examines how young people understand and navigate education and work pathways.,In Review,Both Stages
Contribution  & Leadership,Concerns how young people contribute to and take leadership roles.,In Review,Both Stages
Equity & Inclusion,Ensures equity considerations are intentionally embedded across all work.,In Review,Both Stages
Safeguarding & Protection,Focuses on protecting children and surrounding communities from harm.,In Review,Both Stages
Learning & Accountability Culture,Concerns how evidence and reflection inform decisions and adaptation.,In Review,Both Stages
Organisational Capacity & Sustainability,"How the organisation is structured, resourced, and managed to deliver its strategy well over time —
  including leadership, systems, culture, and financial sustainability.",In Review,Both Stages
Community  & Partnership Engagement,"The relationships and collaboration approaches that build trust, shared ownership, and collective
  action with communities, stakeholders, and partner organisations.",In Review,2: Outcome
School  & Teacher Systems,Addresses institutional conditions that enable sustained improvement in learning quality.,In Review,Both Stages
Public Sector Engagement,Focuses on how public institutions engage with and adopt effective approaches.,In Review,Both Stages
Coordination  & Collective Learning,"Examines how actors align, share learning, and reduce fragmentation.",In Review,Both Stages
Preparatory Planning,"It refers to the structured, participatory, and legally grounded processes undertaken prior to project implementation to ensure ethical legitimacy, legal clarity, social equity, and ecological integrity. It assesses whether foundational safeguards, rights recognition, baseline evidence, and risk mitigation mechanisms are in place before any physical land-use changes or carbon-related activities begin. This theme evaluates the depth of community inclusion, legal preparedness, and institutional accountability during the project design phase.",Published on Platform,1: Output
Recruitment and Management,"Ensuring that project employment systems are inclusive, fair, and protective of worker dignity. Recruitment and Management safeguards equitable access to jobs, fair compensation, safe working conditions, and accountable labor governance. It ensures that economic benefits generated by the project translate into decent work opportunities for local communities, while protecting workers’ rights and wellbeing.",Published on Platform,1: Output
Social Valuation,"Social Valuation examines stakeholder perceptions of the importance and lived value of experienced changes resulting from carbon revenue–funded activities. It does not measure structural conditions or service provision directly; rather, it assesses how significant and meaningful these changes are to stakeholders.",Published on Platform,2: Outcome
Social Legitimacy,"This theme assesses stakeholder perceptions of the legitimacy and equity of carbon revenue arrangements within villages, including fairness of benefit distribution, inclusiveness of governance processes, experienced social burdens, and trust in the continuation of the system.",Published on Platform,2: Outcome
Demographics,"Demographics instead describe who the respondent is. They are used for:
• disaggregation
• equity analysis
• sampling validation
• context interpretation",Published on Platform,Standard for surveys
Learning Centre Performance,"Tracks the reach and revenue performance of the ConnectGo Learning Centre as a physical and programmatic asset, covering both the mission offer (free learning access) and the commercial offer (space rental and organisational training income).",In Development,Both Stages
Scholars & Alumni,"Tracks the family-level ripple effects of scholar participation in TFFT programmes, capturing whether a scholar's learning journey positively influences the educational attitudes, behaviours, and aspirations of siblings, parents, and wider household members.",In Development,2: Outcome